Учень,День тижня,Група витрат,Стаття витрат,Сума
Максим,Понеділок,Різне,Вода/Закуски,55
Максим,Понеділок,Проживання,Готель,750
Максим,Понеділок,Розваги,Розваги,107
Максим,Вівторок,Харчування,Сніданок,273
Максим,Вівторок,Різне,Вода/Закуски,89
Максим,Вівторок,Проживання,Готель,589
Максим,Середа,Екскурсії,Екскурсія,115
Максим,Середа,Харчування,Вечеря,247
Максим,Середа,Проживання,Готель,723
Максим,Четвер,Харчування,Сніданок,106
Максим,Четвер,Екскурсії,Екскурсія,387
Максим,Четвер,Різне,Вода/Закуски,45
Максим,П'ятниця,Різне,Вода/Закуски,73
Максим,П'ятниця,Розваги,Розваги,106
Максим,П'ятниця,Екскурсії,Екскурсія,329
Максим,Субота,Екскурсії,Екскурсія,488
Максим,Субота,Харчування,Обід,281
Максим,Субота,Проживання,Готель,1214
Максим,Неділя,Харчування,Вечеря,279
Максим,Неділя,Харчування,Обід,310
Максим,Неділя,Різне,Вода/Закуски,63
Назар,Понеділок,Проживання,Готель,599
Назар,Понеділок,Розваги,Розваги,141
Назар,Понеділок,Харчування,Вечеря,376
Назар,Вівторок,Екскурсії,Екскурсія,473
Назар,Вівторок,Харчування,Обід,435
Назар,Вівторок,Проживання,Готель,1049
Назар,Середа,Проживання,Готель,1065
Назар,Середа,Харчування,Вечеря,350
Назар,Середа,Розваги,Розваги,142
Назар,Четвер,Екскурсії,Екскурсія,123
Назар,Четвер,Харчування,Сніданок,269
Назар,Четвер,Проживання,Готель,733
Назар,П'ятниця,Розваги,Розваги,109
Назар,П'ятниця,Харчування,Обід,251
Назар,П'ятниця,Проживання,Готель,889
Назар,Субота,Харчування,Обід,283
Назар,Субота,Харчування,Вечеря,389
Назар,Субота,Розваги,Розваги,140
Назар,Неділя,Харчування,Сніданок,279
Назар,Неділя,Різне,Вода/Закуски,29
Назар,Неділя,Харчування,Обід,287
Єгор,Понеділок,Екскурсії,Екскурсія,183
Єгор,Понеділок,Різне,Вода/Закуски,79
Єгор,Понеділок,Харчування,Сніданок,197
Єгор,Вівторок,Харчування,Обід,312
Єгор,Вівторок,Різне,Вода/Закуски,61
Єгор,Вівторок,Екскурсії,Екскурсія,493
Єгор,Середа,Розваги,Розваги,58
Єгор,Середа,Проживання,Готель,1324
Єгор,Середа,Харчування,Сніданок,180
Єгор,Четвер,Харчування,Вечеря,308
Єгор,Четвер,Харчування,Обід,490
Єгор,Четвер,Проживання,Готель,1397
Єгор,П'ятниця,Різне,Вода/Закуски,83
Єгор,П'ятниця,Харчування,Обід,402
Єгор,П'ятниця,Харчування,Сніданок,264
Єгор,Субота,Харчування,Вечеря,271
Єгор,Субота,Харчування,Сніданок,163
Єгор,Субота,Харчування,Обід,487
Єгор,Неділя,Екскурсії,Екскурсія,319
Єгор,Неділя,Харчування,Обід,498
Єгор,Неділя,Розваги,Розваги,152
Надія,Понеділок,Харчування,Обід,460
Надія,Понеділок,Харчування,Сніданок,226
Надія,Понеділок,Різне,Вода/Закуски,31
Надія,Вівторок,Розваги,Розваги,89
Надія,Вівторок,Проживання,Готель,1142
Надія,Вівторок,Різне,Вода/Закуски,40
Надія,Середа,Розваги,Розваги,66
Надія,Середа,Різне,Вода/Закуски,69
Надія,Середа,Харчування,Вечеря,395
Надія,Четвер,Екскурсії,Екскурсія,228
Надія,Четвер,Харчування,Вечеря,483
